,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
532777,1101,541,5,974923093,M,35,1,06417,Blade Runner (1982),Film-Noir|Sci-Fi,False
32790,195,745,5,1016682114,M,25,12,10458,"Close Shave, A (1995)",Animation|Comedy|Thriller,False
643127,1019,3827,3,1042233125,M,35,1,60640,Space Cowboys (2000),Action|Sci-Fi,False
278835,3829,1719,5,965937191,F,25,1,22307,"Sweet Hereafter, The (1997)",Drama,False
606131,1324,2841,4,974777781,M,35,16,07030,Stir of Echoes (1999),Thriller,False
828228,3308,3693,1,967995712,F,18,20,15701-1348,"Toxic Avenger, The (1985)",Comedy|Horror,False
786621,3709,463,3,966275485,M,25,12,89502,Guilty as Sin (1993),Crime|Drama|Thriller,False
625542,5972,2369,1,966265765,F,25,20,55428,Desperately Seeking Susan (1985),Comedy|Romance,False
513696,5689,2003,3,960782091,M,25,0,84119,Gremlins (1984),Comedy|Horror,False
867989,4083,1453,1,965437870,M,56,14,92630,"Beautician and the Beast, The (1997)",Comedy|Romance,False
678007,1150,2014,1,974877095,F,25,20,75226,Freaky Friday (1977),Children's|Comedy,False
155980,1377,1090,3,974769271,M,35,16,65270,Platoon (1986),Drama|War,False
947014,721,2121,4,976465349,F,35,9,97520,Cujo (1983),Horror|Thriller,False
742107,319,3551,4,976423780,F,50,6,33436,Marathon Man (1976),Thriller,False
463267,6036,2091,2,956755171,F,25,15,32603,Return from Witch Mountain (1978),Children's|Sci-Fi,False
680753,151,2020,5,993117670,F,25,20,85013,Dangerous Liaisons (1988),Drama|Romance,False
575229,4169,1303,4,965693112,M,50,0,66048,"Man Who Would Be King, The (1975)",Adventure,False
860275,4521,2034,4,964835956,M,35,12,15202,"Black Hole, The (1979)",Sci-Fi,False
741077,475,196,4,976220972,F,25,2,55421,Species (1995),Horror|Sci-Fi,False
137613,3967,593,4,968872248,F,18,2,13603,"Silence of the Lambs, The (1991)",Drama|Thriller,False
911329,2338,615,4,974428882,M,45,17,13152,Bread and Chocolate (Pane e cioccolata) (1973),Drama,False
439767,996,592,5,975103591,M,25,17,98102,Batman (1989),Action|Adventure|Crime|Drama,False
836745,4704,2088,3,963533110,M,18,20,02601,Popeye (1980),Adventure|Comedy|Musical,False
450846,4277,316,4,965294638,M,35,16,98133,Stargate (1994),Action|Adventure|Sci-Fi,False
58142,3201,608,5,968625938,M,45,7,35216,Fargo (1996),Crime|Drama|Thriller,False
919974,3732,2940,4,974062392,M,25,17,60153,Gilda (1946),Film-Noir,False
747988,5561,45,2,959375303,F,25,3,74075,To Die For (1995),Comedy|Drama,False
125011,2148,2353,3,974621824,F,18,0,81301,Enemy of the State (1998),Action|Thriller,False
958289,3688,306,5,966403055,M,18,6,21202,Three Colors: Red (1994),Drama,False
750381,1440,3763,2,974758831,M,35,12,94520,F/X (1986),Action|Crime|Thriller,False
21931,1279,2321,4,974852702,M,35,1,98502,Pleasantville (1998),Comedy,False
795257,349,2186,3,1037920419,M,1,10,08035,Strangers on a Train (1951),Film-Noir|Thriller,False
